name,price,volume24h,volume7d,volume30d,lastUpdated,marketCapByTotalSupply
SPACE ID,0.754364805,353868092.5,2427321605,9567313028,2023-04-26T16:28:00.000Z,1508729610
0x Protocol,0.271001615,18276824.58,136353696.4,438689839.1,2023-04-26T16:28:00.000Z,271001614.8
MX TOKEN,2.294715668,2813533.942,22163470.55,91524166.64,2023-04-26T16:28:00.000Z,1032622050
Moonbeam,0.366218659,5092175.306,35423876.02,130889051,2023-04-26T16:28:00.000Z,383104874.2
Waves,2.021596419,98241654.57,681499794.3,2905239582,2023-04-26T16:28:00.000Z,224930827.1
Siacoin,0.004067938,24840707.83,172031036.1,780298385.4,2023-04-26T16:28:00.000Z,219219172
Ontology,0.250354806,15188340.08,95950179.07,336444014.3,2023-04-26T16:28:00.000Z,250354806
Kadena,0.957203569,4997740.595,32498916.29,120755296.8,2023-04-26T16:28:00.000Z,957203569.4
Alchemy Pay,0.034980132,41720355.12,269588367.3,897298627.1,2023-04-26T16:28:00.000Z,349801320.7
DAO Maker,1.490479013,1855781.298,13973246.47,49455524.31,2023-04-26T16:28:00.000Z,409599561.4
MobileCoin,1.090333191,1796967.073,12485677.82,38479761.83,2023-04-26T16:28:00.000Z,272583297.8
Reserve Rights,0.004024561,4740369.334,32512465.32,141397337.9,2023-04-26T16:28:00.000Z,402456075.7
IOST,0.010822658,12505535.02,93094901.68,352313541,2023-04-26T16:28:00.000Z,202479971.1
Biconomy,0.383704579,4056863.372,25251256.15,92847234.24,2023-04-26T16:28:00.000Z,383704578.7
Hive,0.416231539,4296486.602,31604925.82,120536041,2023-04-26T16:28:00.000Z,198352327.1
TerraClassicUSD,0.020140318,16913174.24,118145158.9,439448687.7,2023-04-26T16:28:00.000Z,197399926.1
Celer Network,0.026965235,33564015.68,211575328.8,616938474.6,2023-04-26T16:28:00.000Z,269652354
BinaryX,0.654921634,18812439.36,142093202.4,607429493.9,2023-04-26T16:28:00.000Z,406887223.8
SKALE,0.041791203,9192743.844,59070486.75,248106364.2,2023-04-26T16:28:00.000Z,227643645.9
Flux,0.630629839,12462321.49,85724897.82,314314665.9,2023-04-26T16:28:00.000Z,277477129.3
WAX,0.069584117,10183432.47,77295294.2,333760660.2,2023-04-26T16:28:00.000Z,275616670.8
Polymath,0.199112289,1175143.995,8976173.547,37105253.74,2023-04-26T16:28:00.000Z,199112289.4
Cartesi,0.249991596,54684327.79,375443606.5,1439088061,2023-04-26T16:28:00.000Z,249991596.1
BORA,0.180513409,3460038.357,22807115.66,83453421.93,2023-04-26T16:28:00.000Z,217654043.3
aelf,0.29788134,9566036.496,69409941.29,306865010.6,2023-04-26T16:28:00.000Z,297881339.9
SwissBorg,0.176628265,463664.4597,3488254.259,12624806.29,2023-04-26T16:28:00.000Z,176628264.7
